id,parent_id,name,slug,description,icon_emoji,service_count,is_popular,display_order,created_at
2d-animation,animation,2D 애니메이션,2d-animation,,,0,false,0,2025-10-24 05:42:09.720473+00
2d-character,character-illustration,2D 캐릭터,2d-character,,,0,false,3,2025-10-24 05:42:09.720473+00
3d-animation,animation,3D 애니메이션,3d-animation,,,0,false,1,2025-10-24 05:42:09.720473+00
3d-character-figure,3d-design,3D 캐릭터·피규어,3d-character-figure,,,0,false,0,2025-10-24 05:42:09.720473+00
3d-clothing-jewelry,3d-design,3D 의류·쥬얼리,3d-clothing-jewelry,,,0,false,3,2025-10-24 05:42:09.720473+00
3d-design,design,3D 디자인,3d-design,,,0,false,8,2025-10-24 05:42:09.720473+00
3d-game-source,3d-design,3D 게임용 소스,3d-game-source,,,0,false,4,2025-10-24 05:42:09.720473+00
3d-graphics,3d-design,3D 그래픽,3d-graphics,,,0,false,5,2025-10-24 05:42:09.720473+00
3d-modeling-cg,computer-graphics,3D 모델링,3d-modeling-cg,,,0,false,5,2025-10-24 05:42:09.720473+00
3d-product-modeling-rendering,3d-design,3D 제품모델링·렌더링,3d-product-modeling-rendering,,,0,false,1,2025-10-24 05:42:09.720473+00
3d-space-modeling,3d-design,3D 공간 모델링,3d-space-modeling,,,0,false,2,2025-10-24 05:42:09.720473+00
academic-documents,writing,학술 문서,academic-documents,,,0,false,7,2025-10-24 05:42:09.720473+00
academic-translation,professional-translation,학술 번역,academic-translation,,,0,false,3,2025-10-24 05:42:09.720473+00
actor,entertainer,배우,actor,,,0,false,1,2025-10-24 05:42:09.720473+00
ad-copywriting,business-copy,광고 카피라이팅,ad-copywriting,,,0,true,2,2025-10-24 05:42:09.720473+00
ad-promo-video,video,광고·홍보 영상,ad-promo-video,,,0,true,0,2025-10-24 05:42:09.720473+00
admission-prep,career-admission,입시 준비,admission-prep,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-ad-material-design,ai-design,AI 광고소재 디자인,ai-ad-material-design,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-ad-model,ai-image,AI 광고 모델,ai-ad-model,,,0,false,4,2025-10-24 05:42:09.720473+00
ai-ad-video,ai-video,AI 광고 영상,ai-ad-video,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-aeo-geo,ai-marketing,AI AEO·GEO,ai-aeo-geo,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-agent,ai-development,AI 에이전트,ai-agent,,,0,false,7,2025-10-24 05:42:09.720473+00
ai-agent-it,ai-it,AI 에이전트,ai-agent-it,,,0,false,7,2025-10-24 05:42:09.720473+00
ai-automation-program,ai-development,AI 자동화 프로그램,ai-automation-program,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-automation-program-it,ai-it,AI 자동화 프로그램,ai-automation-program-it,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-book-cover,ai-design,AI 책 표지,ai-book-cover,,,0,false,7,2025-10-24 05:42:09.720473+00
ai-business-monetization-ebook,ai-startup-monetization,AI 사업·수익화 전자책,ai-business-monetization-ebook,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-character-design,ai-design,AI 캐릭터 디자인,ai-character-design,,,0,false,3,2025-10-24 05:42:09.720473+00
ai-content,video-photo,AI 콘텐츠,ai-content,,,0,false,3,2025-10-24 05:42:09.720473+00
ai-content-production,ai-content-writing,AI 콘텐츠 생산,ai-content-production,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-content-production-lesson,ai-education,AI 콘텐츠 제작 레슨,ai-content-production-lesson,,,0,false,4,2025-10-24 05:42:09.720473+00
ai-content-review-editing,ai-content-writing,AI 콘텐츠 검수·편집,ai-content-review-editing,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-content-writing,ai-services,AI 콘텐츠 라이팅,ai-content-writing,,,0,false,7,2025-10-24 05:42:09.720473+00
ai-data-analysis,ai-development,AI 데이터 분석,ai-data-analysis,,,0,false,8,2025-10-24 05:42:09.720473+00
ai-data-analysis-it,ai-it,AI 데이터 분석,ai-data-analysis-it,,,0,false,8,2025-10-24 05:42:09.720473+00
ai-design,ai-services,AI 디자인,ai-design,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-design-etc,ai-design,AI 디자인 기타,ai-design-etc,,,0,false,8,2025-10-24 05:42:09.720473+00
ai-development,ai-services,AI 개발,ai-development,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-development-analysis-lesson,ai-education,AI 개발·분석 레슨,ai-development-analysis-lesson,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-dubbing-narration,ai-sound,AI 더빙·나레이션,ai-dubbing-narration,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-education,ai-services,AI 교육,ai-education,,,0,false,10,2025-10-24 05:42:09.720473+00
ai-employment-admission,ai-services,AI 취업·입시,ai-employment-admission,,,0,false,9,2025-10-24 05:42:09.720473+00
ai-employment-admission-consulting,ai-employment-admission,AI 취업·입시 컨설팅,ai-employment-admission-consulting,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-feature-development-integration,ai-development,AI 기능 개발·연동,ai-feature-development-integration,,,0,false,6,2025-10-24 05:42:09.720473+00
ai-feature-development-integration-it,ai-it,AI 기능 개발·연동,ai-feature-development-integration-it,,,0,false,6,2025-10-24 05:42:09.720473+00
ai-hair-model,ai-image,AI 헤어 모델,ai-hair-model,,,0,false,3,2025-10-24 05:42:09.720473+00
ai-illustration,ai-design,AI 일러스트,ai-illustration,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-image,ai-services,AI 이미지,ai-image,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-image-creation-retouching,ai-image,AI 이미지 제작·누끼·보정,ai-image-creation-retouching,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-interpretation,ai-translation-interpretation,AI 통역,ai-interpretation,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-introduction-consulting,ai-development,AI 도입 컨설팅,ai-introduction-consulting,,,0,false,9,2025-10-24 05:42:09.720473+00
ai-introduction-consulting-it,ai-it,AI 도입 컨설팅,ai-introduction-consulting-it,,,0,false,9,2025-10-24 05:42:09.720473+00
ai-it,it-programming,AI,ai-it,,,0,false,6,2025-10-24 05:42:09.720473+00
ai-management-operation-consulting,ai-startup-monetization,AI 경영·운영 자문,ai-management-operation-consulting,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-marketing,ai-services,AI 마케팅,ai-marketing,,,0,false,4,2025-10-24 05:42:09.720473+00
ai-marketing-consulting,ai-marketing,AI 마케팅 컨설팅,ai-marketing-consulting,,,0,false,3,2025-10-24 05:42:09.720473+00
ai-marketing-content,ai-marketing,AI 마케팅 콘텐츠,ai-marketing-content,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-marketing-etc,ai-marketing,AI 마케팅 기타,ai-marketing-etc,,,0,false,4,2025-10-24 05:42:09.720473+00
ai-marketing-lesson,ai-education,AI 마케팅 레슨,ai-marketing-lesson,,,0,false,3,2025-10-24 05:42:09.720473+00
ai-modeling-optimization,ai-development,AI 모델링·최적화,ai-modeling-optimization,,,0,false,4,2025-10-24 05:42:09.720473+00
ai-modeling-optimization-it,ai-it,AI 모델링·최적화,ai-modeling-optimization-it,,,0,false,4,2025-10-24 05:42:09.720473+00
ai-music,ai-sound,AI 음원,ai-music,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-photorealistic-model,ai-design,AI 실사·모델,ai-photorealistic-model,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-product-package-design,ai-design,AI 제품·패키지 디자인,ai-product-package-design,,,0,false,4,2025-10-24 05:42:09.720473+00
ai-product-photo,ai-image,AI 제품 사진,ai-product-photo,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-prompt,ai-services,AI 프롬프트,ai-prompt,,,0,false,3,2025-10-24 05:42:09.720473+00
ai-prompt-child,ai-prompt,AI 프롬프트,ai-prompt-child,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-prompt-design,design-etc,AI 프롬프트,ai-prompt-design,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-retouching-composition,ai-design,AI 보정·누끼·합성,ai-retouching-composition,,,0,false,6,2025-10-24 05:42:09.720473+00
ai-services,,AI 서비스,ai-services,,robot,16,false,999,2025-10-24 05:42:09.720473+00
ai-short-form-ad-production,ai-marketing,AI 숏폼 광고 제작,ai-short-form-ad-production,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-short-form-video,ai-video,AI 숏폼 영상,ai-short-form-video,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-skill-ebook,ai-education,AI 스킬 전자책,ai-skill-ebook,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-sound,ai-services,AI 음향,ai-sound,,,0,false,6,2025-10-24 05:42:09.720473+00
ai-space-design,ai-design,AI 공간 디자인,ai-space-design,,,0,false,5,2025-10-24 05:42:09.720473+00
ai-startup-consulting,ai-startup-monetization,AI 창업 자문,ai-startup-consulting,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-startup-monetization,ai-services,AI 창업·수익화,ai-startup-monetization,,,0,false,8,2025-10-24 05:42:09.720473+00
ai-system-service,ai-development,AI 시스템·서비스,ai-system-service,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-system-service-it,ai-it,AI 시스템·서비스,ai-system-service-it,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-translation-interpretation,ai-services,AI 통·번역,ai-translation-interpretation,,,0,false,11,2025-10-24 05:42:09.720473+00
ai-translation-review,document-translation,AI 번역 검수·편집,ai-translation-review,,,0,false,9,2025-10-24 05:42:09.720473+00
ai-translation-review-editing,ai-translation-interpretation,AI 번역 검수·편집,ai-translation-review-editing,,,0,false,0,2025-10-24 05:42:09.720473+00
ai-upscaling,ai-image,AI 업스케일링(화질 개선),ai-upscaling,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-video,ai-services,AI 영상,ai-video,,,0,false,5,2025-10-24 05:42:09.720473+00
ai-video-editing-retouching-captioning,ai-video,AI 영상 편집·보정·자막,ai-video-editing-retouching-captioning,,,0,false,2,2025-10-24 05:42:09.720473+00
ai-work-utilization-lesson,ai-education,AI 업무 활용 레슨,ai-work-utilization-lesson,,,0,false,1,2025-10-24 05:42:09.720473+00
ai-writing,writing,AI 글쓰기,ai-writing,,,0,false,5,2025-10-24 05:42:09.720473+00
aircon-cleaning,home-service,에어컨 청소,aircon-cleaning,,,0,false,4,2025-10-24 05:42:09.720473+00
album-cover,package-cover,앨범커버,album-cover,,,0,false,3,2025-10-24 05:42:09.720473+00
analysis-strategy,marketing,분석·전략,analysis-strategy,,,0,false,7,2025-10-24 05:42:09.720473+00
analytics,web-maintenance,애널리틱스,analytics,,,0,false,4,2025-10-24 05:42:09.720473+00
animation,video-photo,애니메이션,animation,,,0,false,2,2025-10-24 05:42:09.720473+00
app,mobile,앱,app,,,0,true,0,2025-10-24 05:42:09.720473+00
app-marketing,industry-purpose,앱마케팅,app-marketing,,,0,false,2,2025-10-24 05:42:09.720473+00
app-mobile-ui-ux,web-mobile-design,앱·모바일 UI·UX,app-mobile-ui-ux,,,0,true,1,2025-10-24 05:42:09.720473+00
app-modification-maintenance,mobile,앱 수정·유지보수,app-modification-maintenance,,,0,false,2,2025-10-24 05:42:09.720473+00
app-packaging,mobile,앱 패키징,app-packaging,,,0,false,1,2025-10-24 05:42:09.720473+00
appliance-install,home-service,가전 설치/수리,appliance-install,,,0,false,3,2025-10-24 05:42:09.720473+00
appliance-rental,rental-service,가전 렌탈,appliance-rental,,,0,false,0,2025-10-24 05:42:09.720473+00
ar-vr-xr,computer-graphics,AR·VR·XR,ar-vr-xr,,,0,false,6,2025-10-24 05:42:09.720473+00
ars-recording,voice-narration,ARS 녹음,ars-recording,,,0,false,1,2025-10-24 05:42:09.720473+00
art-lesson,online-lessons,미술 레슨,art-lesson,,,0,false,2,2025-10-24 05:42:09.720473+00
astrology-fortune,lifestyle,운세/타로,astrology-fortune,,,0,false,3,2025-10-24 05:42:09.720473+00
audio,video-photo,음향,audio,,,0,false,5,2025-10-24 05:42:09.720473+00
audio-content,audio,오디오 콘텐츠,audio-content,,,0,false,2,2025-10-24 05:42:09.720473+00
audio-editing,audio-production,오디오 편집,audio-editing,,,0,false,2,2025-10-24 05:42:09.720473+00
audio-engineering,audio,오디오 엔지니어링,audio-engineering,,,0,false,3,2025-10-24 05:42:09.720473+00
audio-etc,audio,기타 음향·음악,audio-etc,,,0,false,4,2025-10-24 05:42:09.720473+00
audio-production,music-audio,오디오 작업,audio-production,,,0,false,1,2025-10-24 05:42:09.720473+00
audiobook,voice-narration,오디오북,audiobook,,,0,false,2,2025-10-24 05:42:09.720473+00
babysitter,daily-service,베이비시터,babysitter,,,0,true,4,2025-10-24 05:42:09.720473+00
backend-position,job-position,백엔드,backend-position,,,0,false,2,2025-10-24 05:42:09.720473+00
backlink-traffic,seo-optimization,백링크·트래픽,backlink-traffic,,,0,false,3,2025-10-24 05:42:09.720473+00
banner-delivery-app,marketing-design,배너·배달어플,banner-delivery-app,,,0,false,4,2025-10-24 05:42:09.720473+00
banner-x-banner,print-promotional,현수막·X배너,banner-x-banner,,,0,false,2,2025-10-24 05:42:09.720473+00
barcode-qr-code,design-etc,바코드·QR코드,barcode-qr-code,,,0,false,3,2025-10-24 05:42:09.720473+00
beauty-care-startup,industry-startup,미용·뷰티케어 창업,beauty-care-startup,,,0,false,3,2025-10-24 05:42:09.720473+00
beauty-fashion,,뷰티/패션,beauty-fashion,뷰티와 패션 관련 서비스,spa,14,false,14,2025-10-24 05:42:09.720473+00
beauty-services,beauty-fashion,뷰티 서비스,beauty-services,,,0,false,0,2025-10-24 05:42:09.720473+00
bgm-production,music-production,BGM 제작,bgm-production,,,0,false,2,2025-10-24 05:42:09.720473+00
birthday-party,event-planning,생일 파티,birthday-party,,,0,false,1,2025-10-24 05:42:09.720473+00
blockchain-nft,trend-tech,블록체인·NFT,blockchain-nft,,,0,false,2,2025-10-24 05:42:09.720473+00
blog-cafe-design,marketing-design,블로그·카페 디자인,blog-cafe-design,,,0,false,5,2025-10-24 05:42:09.720473+00
blog-cafe-manuscript,content-writing,블로그·카페 원고,blog-cafe-manuscript,,,0,true,0,2025-10-24 05:42:09.720473+00
blog-management,channel-activation,블로그 관리,blog-management,,,0,true,0,2025-10-24 05:42:09.720473+00
book-cover-interior,package-cover,책표지·내지,book-cover-interior,,,0,false,1,2025-10-24 05:42:09.720473+00
book-ebook-publishing,content-writing,책·전자책 출판,book-ebook-publishing,,,0,false,3,2025-10-24 05:42:09.720473+00
booking-agency,life-service,예약/대행 서비스,booking-agency,,,0,false,3,2025-10-24 05:42:09.720473+00
bookkeeping,finance-accounting,장부 기장,bookkeeping,,,0,false,0,2025-10-24 05:42:09.720473+00
bot-chatbot,program,봇·챗봇,bot-chatbot,,,0,false,8,2025-10-24 05:42:09.720473+00
